{'data_dir': './data/', 'data': 'nyc_category', 'gpu': 0, 'batch_size': 128, 'hidden_size': 130, 'user_poi_size': 300, 'lr': 0.0001, 'wd': 1e-06, 'epochs': 100, 'kg_lambda': 1e-05, 'td': 0.4, 'layers': 3, 'aggregator_type': 'bi-interaction'}
	 rec@1,rec@5,rec@10,ndcg@1,ndcg@5,ndcg@10 
epoch16	 Scores:	[0.1928228455900935, 0.4201415213545615, 0.5072024260803639, 0.1928228455900935, 0.31276570537000786, 0.341090366213955]
epoch17	 Scores:	[0.19408642911296436, 0.4187515794794036, 0.5083396512509477, 0.19408642911296436, 0.31318985381454517, 0.34229109274727976]
epoch18	 Scores:	[0.19636087945413191, 0.4203942380591357, 0.5109931766489765, 0.19636087945413191, 0.3141860638094784, 0.34361430591763775]
epoch19	 Scores:	[0.19332827899924185, 0.42026787970684865, 0.5114986100581248, 0.19332827899924185, 0.313267486493386, 0.34304928056742084]
epoch20	 Scores:	[0.19623452110184483, 0.42380591357088704, 0.5141521354561537, 0.19623452110184483, 0.3161533943710661, 0.3454971606504089]
epoch21	 Scores:	[0.1947182208743998, 0.42443770533232245, 0.516173869092747, 0.1947182208743998, 0.3151141284767523, 0.3449349008286213]
epoch22	 Scores:	[0.19547637098812232, 0.4263330806166288, 0.5178165276724791, 0.19547637098812232, 0.31663090521832904, 0.34630497839118674]
epoch23	 Scores:	[0.19598180439727067, 0.4216578215820066, 0.51604751074046, 0.19598180439727067, 0.31482027233066184, 0.3454896981414645]
epoch24	 Scores:	[0.19408642911296436, 0.42431134698003536, 0.5185746777862017, 0.19408642911296436, 0.3148730349188573, 0.3455464709065458]
epoch25	 Scores:	[0.1972453879201415, 0.4250694970937579, 0.5189537528430629, 0.1972453879201415, 0.31625597436956726, 0.34682696369544636]
epoch26	 Scores:	[0.1981298963861511, 0.4233004801617387, 0.5149102855698762, 0.1981298963861511, 0.3165555391639049, 0.3463597441039485]
epoch27	 Scores:	[0.19522365428354815, 0.42443770533232245, 0.5155420773313116, 0.19522365428354815, 0.315370774545112, 0.3450308757438813]
epoch28	 Scores:	[0.19509729593126104, 0.4217841799342937, 0.5185746777862017, 0.19509729593126104, 0.3145945813185187, 0.3460306295175396]
epoch29	 Scores:	[0.19535001263583524, 0.42191053828658076, 0.5164265857973213, 0.19535001263583524, 0.3144408122182748, 0.34514406212766285]
epoch30	 Scores:	[0.19661359615870608, 0.42026787970684865, 0.5145312105130149, 0.19661359615870608, 0.31427101130424134, 0.34499009973734984]
epoch31	 Scores:	[0.19446550416982564, 0.42380591357088704, 0.5140257771038665, 0.19446550416982564, 0.31497100774055764, 0.34420154691661425]
epoch32	 Scores:	[0.1956027293404094, 0.4195097295931261, 0.5130149102855699, 0.1956027293404094, 0.3131231840969188, 0.3434714989793635]
epoch33	 Scores:	[0.1938337124083902, 0.417867071013394, 0.5109931766489765, 0.1938337124083902, 0.31161349133525096, 0.3419382772627802]
epoch34	 Scores:	[0.19484457922668688, 0.4167298458428102, 0.5127621935809957, 0.19484457922668688, 0.3115116800095202, 0.34265934169850787]
epoch35	 Scores:	[0.19320192064695477, 0.41546626231993933, 0.5069497093757898, 0.19320192064695477, 0.31027281659891875, 0.3400106685449305]
epoch36	 Scores:	[0.1901693201920647, 0.419383371240839, 0.5098559514783927, 0.1901693201920647, 0.3109633291420567, 0.3401851568766336]
best result' Scores:	[0.18227406519132236, 0.39452741742069114, 0.48097677967949415, 0.18227406519132236, 0.29380402162541724, 0.32186788576583414]
