{'data_dir': './data/', 'data': 'tky_category', 'gpu': 0, 'batch_size': 128, 'hidden_size': 130, 'user_poi_size': 300, 'lr': 0.0001, 'wd': 1e-06, 'epochs': 100, 'kg_lambda': 1e-05, 'td': 0.4, 'layers': 2, 'aggregator_type': 'bi-interaction'}
	 rec@1,rec@5,rec@10,ndcg@1,ndcg@5,ndcg@10 
epoch16	 Scores:	[0.21934902868905184, 0.42939234100947726, 0.5066683820060894, 0.21934902868905184, 0.3303668752169593, 0.3554055299512181]
epoch17	 Scores:	[0.22042111582829452, 0.4283631373558043, 0.5071401003473562, 0.22042111582829452, 0.33059422247979475, 0.3561440279423692]
epoch18	 Scores:	[0.22119301856854925, 0.42806295295681634, 0.5070972168617865, 0.22119301856854925, 0.3309164991098047, 0.35656392967331413]
epoch19	 Scores:	[0.22320854239032548, 0.4310219134611261, 0.5082550709721686, 0.22320854239032548, 0.3334426529735926, 0.358533195877199]
epoch20	 Scores:	[0.22247952313564046, 0.4312363308889747, 0.507912003087611, 0.22247952313564046, 0.3334534539632491, 0.3583876024597063]
epoch21	 Scores:	[0.22239375616450105, 0.43192246665809, 0.5094558085681204, 0.22239375616450105, 0.3333540336149191, 0.35857564244417933]
epoch22	 Scores:	[0.22380891118830137, 0.43303743728290234, 0.5087267893134354, 0.22380891118830137, 0.3351928717640141, 0.3598056342448056]
epoch23	 Scores:	[0.22595308546678675, 0.43252283545606585, 0.5106136626785025, 0.22595308546678675, 0.3356323946168264, 0.36098476351618325]
epoch24	 Scores:	[0.22603885243792615, 0.4315793987735323, 0.5106136626785025, 0.22603885243792615, 0.33491920424903243, 0.3605489212103005]
epoch25	 Scores:	[0.22788284231742356, 0.43432394184999357, 0.5116857498177452, 0.22788284231742356, 0.33755806304890584, 0.36257414437335583]
epoch26	 Scores:	[0.2268965221493203, 0.43363780608087826, 0.5095844590248295, 0.2268965221493203, 0.33694097550025964, 0.36159588626575784]
epoch27	 Scores:	[0.22844032762982974, 0.4352244950469574, 0.512157468159012, 0.22844032762982974, 0.33817201078922626, 0.3631216167776901]
epoch28	 Scores:	[0.22972683219692097, 0.4354817959603757, 0.5104850122217934, 0.22972683219692097, 0.3387530727735105, 0.36316061480367384]
epoch29	 Scores:	[0.23037008448046659, 0.43556756293151505, 0.5117286333033149, 0.23037008448046659, 0.33923912631472125, 0.3639650665583786]
epoch30	 Scores:	[0.2311419872207213, 0.436167931729491, 0.5125434195291393, 0.2311419872207213, 0.3402005475341115, 0.3649686888176821]
epoch31	 Scores:	[0.23187100647540632, 0.4357819803593636, 0.5129293708992667, 0.23187100647540632, 0.3405530683504637, 0.36560314374706915]
epoch32	 Scores:	[0.2292551138556542, 0.4351816115613877, 0.5118144002744544, 0.2292551138556542, 0.3393722877485095, 0.36428140050987284]
epoch33	 Scores:	[0.22959818174021185, 0.4386980573781037, 0.5144302928942064, 0.22959818174021185, 0.3406148544266941, 0.3651813832716169]
epoch34	 Scores:	[0.2329002101290793, 0.4394699601183584, 0.5150735451777521, 0.2329002101290793, 0.34280860425476, 0.3673259960104604]
epoch35	 Scores:	[0.232943093614649, 0.437625970238861, 0.5143016424374973, 0.232943093614649, 0.3421141289247108, 0.3669379352661815]
epoch36	 Scores:	[0.2335863458981946, 0.43779750418113983, 0.5141729919807883, 0.2335863458981946, 0.34254087075489636, 0.3673054480584822]
epoch37	 Scores:	[0.23217119087439428, 0.4374973197821519, 0.5144302928942064, 0.23217119087439428, 0.3414969690075497, 0.36645307497166396]
epoch38	 Scores:	[0.23435824863844934, 0.43839787297911575, 0.5141729919807883, 0.23435824863844934, 0.3431626547133665, 0.3678310740866126]
epoch39	 Scores:	[0.2341438312106008, 0.4392984261760796, 0.5144731763797762, 0.2341438312106008, 0.34316528832508386, 0.3675537800296918]
epoch40	 Scores:	[0.2366310733736438, 0.4382263390368369, 0.5146447103220549, 0.2366310733736438, 0.34379805078284065, 0.3686552984022676]
epoch41	 Scores:	[0.23761739354174707, 0.43981302800291605, 0.5166173506582615, 0.23761739354174707, 0.34471105621411036, 0.3696377894635578]
epoch42	 Scores:	[0.23864659719542006, 0.44148548394013465, 0.5167031176294009, 0.23864659719542006, 0.34627363286124413, 0.3706824766085877]
epoch43	 Scores:	[0.23757451005617736, 0.4410995325700073, 0.5170461855139585, 0.23757451005617736, 0.3455950706218785, 0.37031487033051874]
epoch44	 Scores:	[0.23860371370985034, 0.4400703289163343, 0.5170890689995283, 0.23860371370985034, 0.3458637927666793, 0.37081181972692884]
epoch45	 Scores:	[0.23877524765212915, 0.44144260045456496, 0.5155023800334492, 0.23877524765212915, 0.3467755777105614, 0.37079317359913355]
epoch46	 Scores:	[0.23971868433466273, 0.4392126592049402, 0.5159312148891462, 0.23971868433466273, 0.34602360578200986, 0.37099558548669176]
epoch47	 Scores:	[0.2401475191903598, 0.44144260045456496, 0.5173463699129465, 0.2401475191903598, 0.34733635667486007, 0.3720342344195867]
epoch48	 Scores:	[0.2401046357047901, 0.4430721729062138, 0.5176465543119345, 0.2401046357047901, 0.3477091436399496, 0.3719364507789498]
epoch49	 Scores:	[0.2409623054161842, 0.4430721729062138, 0.5173892533985163, 0.2409623054161842, 0.3486924535253629, 0.3728306568837292]
epoch50	 Scores:	[0.24362108152150608, 0.44092799862772847, 0.5169604185428192, 0.24362108152150608, 0.34881931445718545, 0.37342975058959205]
epoch51	 Scores:	[0.24216304301213604, 0.44204296925254083, 0.518589990994468, 0.24216304301213604, 0.34852999206908414, 0.37334958783909944]
epoch52	 Scores:	[0.24173420815643895, 0.443929842617608, 0.5156310304901582, 0.24173420815643895, 0.3496802639674886, 0.37298443229381373]
epoch53	 Scores:	[0.24173420815643895, 0.44350100776191087, 0.5200480295038381, 0.24173420815643895, 0.34892546724746726, 0.37380294742948295]
epoch54	 Scores:	[0.24289206226682106, 0.4425575710793773, 0.5177752047686436, 0.24289206226682106, 0.3493065912191622, 0.37369164061710525]
epoch55	 Scores:	[0.2437926154637849, 0.4453449976414083, 0.517560787340795, 0.2437926154637849, 0.35150160475132675, 0.3749441526241066]
epoch56	 Scores:	[0.24417856683391226, 0.4441442600454565, 0.5172177194562374, 0.24417856683391226, 0.3510040837386761, 0.3746852333392078]
epoch57	 Scores:	[0.2432780136369484, 0.44508769672799003, 0.5195334276770016, 0.2432780136369484, 0.3505469932230636, 0.374704181978827]
epoch58	 Scores:	[0.24426433380505166, 0.44448732793001416, 0.5182469231099104, 0.24426433380505166, 0.350912741648398, 0.3748441843213481]
epoch59	 Scores:	[0.24460740168960934, 0.44487327930014153, 0.5204339808739654, 0.24460740168960934, 0.3514797975840988, 0.37593595338987273]
